,Block,Treat,Rep,risk,lethal,totad,totnym,addist,totinf,uninf,inf.ratio,inf.weight
1,1,C,1,0,0,21,524,42.84333333,16,9,0.64,25
2,1,C,2,0,0,21,455,33.88166667,11,14,0.44,25
3,1,C,3,0,0,19,426,32.04055556,15,10,0.6,25
4,1,C,4,0,0,29,543,38.52107143,21,4,0.84,25
5,1,C,5,0,0,24,490,35.99304348,13,12,0.52,25
6,1,C,6,0,0,21,490,39.99809524,16,9,0.64,25
7,1,C,7,0,0,22,373,35.3155,12,13,0.48,25
8,1,C,8,0,0,27,491,36.21615385,13,12,0.52,25
9,1,C,9,0,0,25,559,36.122,13,12,0.52,25
10,1,C,10,0,0,20,680,39.8123,14,11,0.56,25
11,1,C,11,0,0,23,380,33.681,11,14,0.44,25
12,1,C,12,0,0,24,601,37.918237,10,15,0.4,25
13,1,R,1,1,0,19,573,44.62473684,15,10,0.6,25
14,1,R,2,1,0,22,519,39.98045455,14,11,0.56,25
15,1,R,3,1,0,27,678,42.95814815,19,6,0.76,25
16,1,R,4,1,0,26,612,38.21538462,19,6,0.76,25
17,1,R,5,1,0,22,641,36.33772727,16,9,0.64,25
18,1,R,6,1,0,26,765,38.21538462,22,3,0.88,25
19,1,R,7,1,0,16,447,32.74125,14,11,0.56,25
20,1,R,8,1,0,22,538,37.5047619,18,7,0.72,25
21,1,R,9,1,0,21,480,43.58,19,6,0.76,25
22,1,R,10,1,0,23,470,45.61,17,8,0.68,25
23,1,R,11,1,0,20,416,44.88,16,9,0.64,25
24,1,R,12,1,0,21,570,40.185,12,13,0.48,25
25,1,L,1,0,1,18,369,40.42166667,13,12,0.52,25
26,1,L,2,0,1,20,498,42.687,16,9,0.64,25
27,1,L,3,0,1,22,566,41.31909091,22,3,0.88,25
28,1,L,4,0,1,13,280,35.715,12,13,0.48,25
29,1,L,5,0,1,14,351,41.87928571,15,10,0.6,25
30,1,L,6,0,1,23,537,38.59136364,16,9,0.64,25
31,1,L,7,0,1,13,363,42.02384615,16,9,0.64,25
32,1,L,8,0,1,19,500,40.89631579,19,6,0.76,25
33,1,L,9,0,1,14,360,40.2375,18,7,0.72,25
34,1,L,10,0,1,16,320,40.155432,17,8,0.68,25
35,1,L,11,0,1,12,480,37.12385,18,7,0.72,25
36,1,L,12,0,1,15,360,41.250235,14,11,0.56,25
